Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.4286,0.3500,0.5714,0.4800,0.6000,0.3810,0.8261,0.5500,0.5128,0.5500,0.2857,0.5032
Recall,0.4091,0.3889,0.6400,0.4615,0.4286,0.2759,0.9500,0.6111,0.7143,0.6471,0.1000,0.5115
Specificity,0.9483,0.9449,0.9476,0.9430,0.9833,0.9422,0.9829,0.9619,0.9159,0.9182,0.9786,0.9515
F1,0.4186,0.3684,0.6038,0.4706,0.5000,0.3200,0.8837,0.5789,0.5970,0.5946,0.1481,0.4985
Roc Auc,0.8491,0.8303,0.9366,0.9131,0.9551,0.7572,0.9989,0.9454,0.9347,0.9214,0.8329,0.8977
Pr Auc,0.4779,0.4221,0.6830,0.5173,0.6113,0.3253,0.9714,0.4940,0.6506,0.6728,0.3405,0.5606
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.5197
