Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.3846,0.5000,0.7241,0.5000,0.6667,0.4242,0.8696,0.5263,0.6538,0.5676,0.3636,0.5619
Recall,0.2273,0.5263,0.8750,0.6296,0.4286,0.4828,1.0000,0.5556,0.6296,0.6176,0.2000,0.5611
Specificity,0.9655,0.9574,0.9652,0.9251,0.9875,0.9156,0.9872,0.9619,0.9604,0.9273,0.9701,0.9566
F1,0.2857,0.5128,0.7925,0.5574,0.5217,0.4516,0.9302,0.5405,0.6415,0.5915,0.2581,0.5531
Roc Auc,0.8452,0.9077,0.9888,0.9057,0.9357,0.8368,0.9974,0.9565,0.9044,0.9402,0.7991,0.9107
Pr Auc,0.3957,0.5452,0.8897,0.4695,0.5366,0.4291,0.9498,0.7310,0.6358,0.6619,0.2858,0.5937
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.5709
