Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.2727,0.5263,0.7692,0.5161,0.6000,0.4412,0.8947,0.5000,0.4634,0.8148,0.1667,0.5423
Recall,0.2609,0.5556,0.8000,0.6154,0.4286,0.5172,0.8500,0.5556,0.6786,0.6471,0.0500,0.5417
Specificity,0.9310,0.9620,0.9739,0.9345,0.9834,0.9159,0.9915,0.9578,0.9031,0.9774,0.9787,0.9554
F1,0.2667,0.5405,0.7843,0.5614,0.5000,0.4762,0.8718,0.5263,0.5507,0.7213,0.0769,0.5342
Roc Auc,0.8701,0.9083,0.9417,0.9023,0.9333,0.8966,0.9966,0.8905,0.9058,0.9389,0.7279,0.9011
Pr Auc,0.3788,0.4879,0.7879,0.4877,0.6740,0.4709,0.9541,0.3849,0.5551,0.7892,0.1718,0.5584
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.5569
