Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.3333,0.4667,0.8750,0.5769,0.3529,0.3226,0.8636,0.6111,0.4324,0.4510,0.5000,0.5260
Recall,0.1364,0.3684,0.8750,0.5556,0.4286,0.3571,0.9500,0.6111,0.5714,0.6765,0.1000,0.5118
Specificity,0.9741,0.9660,0.9870,0.9515,0.9542,0.9071,0.9872,0.9703,0.9071,0.8727,0.9915,0.9517
F1,0.1935,0.4118,0.8750,0.5660,0.3871,0.3390,0.9048,0.6111,0.4923,0.5412,0.1667,0.4990
Roc Auc,0.8499,0.9003,0.9315,0.9010,0.8464,0.7721,0.9987,0.8677,0.8044,0.8928,0.7496,0.8649
Pr Auc,0.3120,0.3766,0.8729,0.6287,0.2994,0.3923,0.9705,0.5392,0.4404,0.5260,0.2547,0.5102
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.5236
