Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.3929,0.5833,0.6897,0.5385,0.5714,0.5625,0.8636,0.6429,0.6250,0.6327,0.1667,0.5699
Recall,0.5000,0.3684,0.8333,0.7778,0.2857,0.3214,0.9500,0.4737,0.7407,0.9118,0.0500,0.5648
Specificity,0.9267,0.9787,0.9609,0.9207,0.9875,0.9690,0.9872,0.9787,0.9471,0.9182,0.9786,0.9594
F1,0.4400,0.4516,0.7547,0.6364,0.3810,0.4091,0.9048,0.5455,0.6780,0.7470,0.0769,0.5477
Roc Auc,0.9224,0.8600,0.9804,0.9254,0.8616,0.8268,0.9957,0.9610,0.9455,0.9766,0.8468,0.9184
Pr Auc,0.4558,0.4546,0.8640,0.7039,0.3317,0.4709,0.9280,0.7031,0.7076,0.8978,0.2654,0.6166
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.5984
