Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.4091,0.6154,0.8571,0.5789,0.5385,0.4286,0.8182,0.4643,0.6875,0.5625,0.4167,0.5797
Recall,0.4091,0.4211,0.7500,0.4074,0.5000,0.4138,0.9000,0.7222,0.4074,0.7941,0.5000,0.5659
Specificity,0.9440,0.9787,0.9870,0.9648,0.9750,0.9289,0.9829,0.9364,0.9780,0.9045,0.9402,0.9564
F1,0.4091,0.5000,0.8000,0.4783,0.5185,0.4211,0.8571,0.5652,0.5116,0.6585,0.4545,0.5613
Roc Auc,0.8983,0.9196,0.9875,0.9090,0.9539,0.8527,0.9972,0.9666,0.8825,0.9402,0.8252,0.9212
Pr Auc,0.3536,0.5742,0.8835,0.5911,0.5662,0.4527,0.9529,0.7287,0.5219,0.6325,0.2713,0.5935
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.5669
