Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.4286,0.4500,0.8571,0.6400,0.3750,0.5556,0.9500,0.3684,0.4043,0.6154,0.1000,0.5222
Recall,0.1364,0.4737,0.5000,0.5926,0.4286,0.3571,0.9500,0.7778,0.6786,0.7059,0.0500,0.5137
Specificity,0.9828,0.9532,0.9913,0.9604,0.9583,0.9646,0.9957,0.8983,0.8761,0.9318,0.9615,0.9522
F1,0.2069,0.4615,0.6316,0.6154,0.4000,0.4348,0.9500,0.5000,0.5067,0.6575,0.0667,0.4937
Roc Auc,0.8762,0.9160,0.9877,0.8956,0.8229,0.8684,0.9998,0.9169,0.8345,0.9360,0.6688,0.8839
Pr Auc,0.3583,0.5088,0.8745,0.6038,0.2622,0.5246,0.9757,0.5744,0.3989,0.6284,0.1404,0.5318
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.5236
