Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.1765,0.3333,0.6207,0.5000,0.3750,0.3333,0.9444,0.2812,0.6500,0.5714,0.1304,0.4469
Recall,0.1364,0.2632,0.7500,0.4815,0.2308,0.2759,0.8500,0.5000,0.4643,0.7059,0.1500,0.4371
Specificity,0.9397,0.9574,0.9522,0.9427,0.9793,0.9289,0.9957,0.9025,0.9690,0.9182,0.9145,0.9455
F1,0.1538,0.2941,0.6792,0.4906,0.2857,0.3019,0.8947,0.3600,0.5417,0.6316,0.1395,0.4339
Roc Auc,0.8017,0.8907,0.9567,0.9019,0.8695,0.8349,0.9925,0.8934,0.9126,0.9401,0.7013,0.8814
Pr Auc,0.2232,0.3723,0.8220,0.5371,0.4137,0.3433,0.9467,0.3789,0.6076,0.6945,0.1437,0.4985
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.4567
