Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.2273,0.3333,0.6667,0.5714,0.3333,0.4242,0.9500,0.4231,0.4483,0.5000,0.6000,0.4980
Recall,0.2273,0.2105,0.4167,0.4444,0.3571,0.4828,0.9500,0.6111,0.4815,0.7647,0.2857,0.4756
Specificity,0.9270,0.9661,0.9784,0.9605,0.9585,0.9159,0.9957,0.9367,0.9298,0.8824,0.9829,0.9485
F1,0.2273,0.2581,0.5128,0.5000,0.3448,0.4516,0.9500,0.5000,0.4643,0.6047,0.3871,0.4728
Roc Auc,0.8178,0.7672,0.9278,0.8598,0.8059,0.8372,0.9960,0.9304,0.8861,0.9094,0.7780,0.8650
Pr Auc,0.2741,0.3652,0.6384,0.6234,0.3431,0.5051,0.9620,0.4395,0.5455,0.5968,0.3445,0.5125
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.4902
