Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.3913,0.6250,0.7143,0.5172,0.4706,0.4667,0.7917,0.4815,0.5769,0.5405,0.1538,0.5209
Recall,0.4091,0.2632,0.6250,0.5556,0.5714,0.4828,0.9500,0.7222,0.5556,0.5882,0.0952,0.5289
Specificity,0.9399,0.9873,0.9740,0.9386,0.9627,0.9292,0.9787,0.9409,0.9518,0.9231,0.9530,0.9527
F1,0.4000,0.3704,0.6667,0.5357,0.5161,0.4746,0.8636,0.5778,0.5660,0.5634,0.1176,0.5138
Roc Auc,0.8357,0.8245,0.9816,0.8816,0.9378,0.8209,0.9934,0.8762,0.8889,0.8931,0.7945,0.8844
Pr Auc,0.3853,0.4496,0.7956,0.5058,0.4667,0.4310,0.9391,0.4126,0.5423,0.4991,0.2284,0.5141
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.5294
