Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.3235,0.7500,0.7586,0.4231,0.5455,0.4500,0.8261,0.5789,0.5652,0.5000,0.0000,0.5201
Recall,0.5000,0.3158,0.9167,0.4074,0.4286,0.3103,0.9500,0.6111,0.4815,0.8824,0.0000,0.5276
Specificity,0.9009,0.9915,0.9696,0.9339,0.9792,0.9511,0.9829,0.9661,0.9559,0.8636,0.9957,0.9537
F1,0.3929,0.4444,0.8302,0.4151,0.4800,0.3673,0.8837,0.5946,0.5200,0.6383,0.0000,0.5060
Roc Auc,0.8437,0.9062,0.9926,0.8956,0.9381,0.8238,0.9974,0.9572,0.8910,0.9286,0.8201,0.9086
Pr Auc,0.3368,0.5166,0.9166,0.4520,0.5039,0.3883,0.9521,0.7490,0.5609,0.6266,0.2931,0.5723
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.5433
