Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.2059,0.6154,0.7778,0.3659,0.6667,0.4762,0.9412,0.7059,0.4375,0.4464,0.3333,0.5429
Recall,0.3182,0.4211,0.8750,0.5556,0.2857,0.3571,0.8000,0.6316,0.2593,0.7353,0.1000,0.4853
Specificity,0.8836,0.9787,0.9739,0.8855,0.9917,0.9513,0.9957,0.9787,0.9604,0.8591,0.9829,0.9492
F1,0.2500,0.5000,0.8235,0.4412,0.4000,0.4082,0.8649,0.6667,0.3256,0.5556,0.1538,0.4899
Roc Auc,0.8107,0.8912,0.9888,0.9021,0.8149,0.8568,0.9983,0.9501,0.8871,0.9215,0.8348,0.8960
Pr Auc,0.3368,0.5303,0.9057,0.5736,0.4025,0.5143,0.9618,0.7444,0.4074,0.5317,0.2796,0.5625
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.5000
