Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.7143,0.4706,0.9286,0.6296,0.5000,0.6129,0.9500,0.5000,0.5455,0.5490,0.4000,0.6182
Recall,0.4545,0.4211,0.5417,0.6296,0.5000,0.6552,0.9500,0.6667,0.6667,0.8235,0.1905,0.5909
Specificity,0.9828,0.9619,0.9957,0.9561,0.9710,0.9469,0.9957,0.9494,0.9342,0.8959,0.9744,0.9604
F1,0.5556,0.4444,0.6842,0.6296,0.5000,0.6333,0.9500,0.5714,0.6000,0.6588,0.2581,0.5896
Roc Auc,0.8937,0.8673,0.9481,0.8847,0.9333,0.8587,0.9934,0.9264,0.9251,0.9421,0.7635,0.9033
Pr Auc,0.5248,0.4450,0.8059,0.6607,0.5658,0.6334,0.9532,0.4918,0.5973,0.7213,0.3146,0.6103
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.6078
