Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.0000,0.2500,0.6000,0.4600,0.4737,0.4583,0.9500,0.5000,0.5714,0.6471,0.2222,0.4666
Recall,0.0000,0.3889,0.7200,0.8846,0.6429,0.3793,0.9500,0.5000,0.4286,0.6471,0.1000,0.5128
Specificity,0.9957,0.9110,0.9476,0.8816,0.9583,0.9422,0.9957,0.9619,0.9602,0.9455,0.9701,0.9518
F1,0.0000,0.3043,0.6545,0.6053,0.5455,0.4151,0.9500,0.5000,0.4898,0.6471,0.1379,0.4772
Roc Auc,0.8852,0.8030,0.9492,0.9273,0.9661,0.8072,0.9976,0.9339,0.9339,0.9293,0.8280,0.9055
Pr Auc,0.4725,0.2883,0.6631,0.6032,0.6926,0.4524,0.9678,0.5391,0.6544,0.7035,0.2226,0.5691
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.5197
