Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.2857,0.5238,0.5714,0.6429,0.2917,0.3750,0.4706,0.2143,0.4048,0.6176,0.3333,0.4301
Recall,0.1818,0.5789,0.8333,0.3333,0.5000,0.2069,0.8000,0.1667,0.6296,0.6176,0.1000,0.4498
Specificity,0.9569,0.9574,0.9348,0.9780,0.9292,0.9556,0.9231,0.9534,0.8899,0.9409,0.9829,0.9456
F1,0.2222,0.5500,0.6780,0.4390,0.3684,0.2667,0.5926,0.1875,0.4928,0.6176,0.1538,0.4153
Roc Auc,0.7737,0.8947,0.9351,0.9037,0.8277,0.7764,0.9293,0.7693,0.8582,0.8894,0.8085,0.8515
Pr Auc,0.2258,0.4402,0.7100,0.5015,0.2094,0.3336,0.6993,0.3401,0.3983,0.5906,0.2736,0.4293
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.4567
