Metric,AnnualCrop,Forest,HerbaceousVegetation,Highway,Industrial,Pasture,PermanentCrop,Residential,River,SeaLake,Macro Avg
Precision,0.9756,0.9328,0.8955,0.9564,0.9878,0.9683,0.9319,0.9693,0.9718,0.9915,0.9581
Recall,0.9317,0.9950,0.9567,0.9660,0.9740,0.9150,0.8760,0.9983,0.9640,0.9683,0.9545
Specificity,0.9971,0.9910,0.9860,0.9955,0.9988,0.9976,0.9935,0.9960,0.9971,0.9990,0.9952
F1,0.9531,0.9629,0.9251,0.9612,0.9809,0.9409,0.9031,0.9836,0.9679,0.9798,0.9558
Roc Auc,0.9965,0.9998,0.9969,0.9994,0.9998,0.9958,0.9964,0.9999,0.9996,0.9996,0.9984
Pr Auc,0.9882,0.9977,0.9750,0.9941,0.9980,0.9818,0.9684,0.9987,0.9955,0.9972,0.9895
Overall Acc,-,-,-,-,-,-,-,-,-,-,0.9567
