Metric,1_cumulus,2_altocumulus,3_cirrus,4_clearsky,5_stratocumulus,6_cumulonimbus,7_mixed,Macro Avg
Precision,0.9608,0.9068,0.8681,0.9685,0.8290,0.9004,0.7692,0.8861
Recall,0.9639,0.9559,0.9501,0.9880,0.7538,0.8855,0.8377,0.9050
Specificity,0.9966,0.9917,0.9839,0.9921,0.9632,0.9573,0.9867,0.9817
F1,0.9624,0.9307,0.9073,0.9782,0.7896,0.8929,0.8020,0.8947
Roc Auc,0.9917,0.9914,0.9872,0.9990,0.9601,0.9817,0.9474,0.9798
Pr Auc,0.9876,0.9535,0.9536,0.9973,0.8698,0.9517,0.8539,0.9382
Overall Acc,-,-,-,-,-,-,-,0.8963
