Metric,1_cumulus,2_altocumulus,3_cirrus,4_clearsky,5_stratocumulus,6_cumulonimbus,7_mixed,Macro Avg
Precision,0.9536,0.8309,0.8992,0.9865,0.7848,0.8749,0.8380,0.8811
Recall,0.9443,0.9492,0.9134,0.9773,0.7675,0.8673,0.7853,0.8863
Specificity,0.9960,0.9837,0.9886,0.9967,0.9502,0.9460,0.9920,0.9790
F1,0.9489,0.8861,0.9062,0.9819,0.7761,0.8711,0.8108,0.8830
Roc Auc,0.9991,0.9972,0.9902,0.9997,0.9661,0.9776,0.9882,0.9883
Pr Auc,0.9897,0.9708,0.9611,0.9985,0.8711,0.9505,0.8786,0.9458
Overall Acc,-,-,-,-,-,-,-,0.8829
