Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.2400,0.3750,0.5116,0.4865,0.4118,0.1429,0.8947,0.2727,0.4483,0.5952,0.2222,0.4183
Recall,0.2727,0.1579,0.9167,0.6667,0.5385,0.0690,0.8500,0.1667,0.4643,0.7353,0.1000,0.4489
Specificity,0.9181,0.9787,0.9087,0.9163,0.9585,0.9467,0.9915,0.9661,0.9292,0.9227,0.9701,0.9461
F1,0.2553,0.2222,0.6567,0.5625,0.4667,0.0930,0.8718,0.2069,0.4561,0.6579,0.1379,0.4170
Roc Auc,0.7312,0.8038,0.9417,0.8884,0.8959,0.7893,0.9976,0.8479,0.8586,0.9366,0.6759,0.8515
Pr Auc,0.1987,0.2971,0.8203,0.5691,0.4558,0.2542,0.9592,0.2585,0.4731,0.6441,0.1563,0.4624
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.4646
