Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.4615,0.4545,0.5789,0.5862,0.4286,0.5312,1.0000,0.3500,0.3830,0.5870,0.2857,0.5133
Recall,0.2727,0.2632,0.4583,0.6296,0.4286,0.5862,0.8500,0.3889,0.6667,0.7941,0.0952,0.4940
Specificity,0.9700,0.9746,0.9654,0.9474,0.9668,0.9336,1.0000,0.9451,0.8728,0.9140,0.9786,0.9517
F1,0.3429,0.3333,0.5116,0.6071,0.4286,0.5574,0.9189,0.3684,0.4865,0.6750,0.1429,0.4884
Roc Auc,0.8252,0.8031,0.9174,0.8718,0.8966,0.8851,0.9947,0.8739,0.8712,0.9044,0.7550,0.8726
Pr Auc,0.3652,0.3954,0.5561,0.5188,0.5285,0.5673,0.9618,0.3363,0.4383,0.5354,0.2844,0.4988
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.5216
