Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.6667,0.6923,0.7692,0.4571,0.5385,0.4500,0.8500,0.4815,0.6250,0.5870,0.4000,0.5925
Recall,0.3636,0.4737,0.8333,0.5926,0.5000,0.3103,0.8500,0.7222,0.7407,0.7941,0.2000,0.5801
Specificity,0.9828,0.9830,0.9739,0.9163,0.9750,0.9511,0.9872,0.9407,0.9471,0.9136,0.9744,0.9586
F1,0.4706,0.5625,0.8000,0.5161,0.5185,0.3673,0.8500,0.5778,0.6780,0.6750,0.2667,0.5711
Roc Auc,0.8472,0.9091,0.9813,0.9036,0.9259,0.8380,0.9979,0.9517,0.9127,0.9364,0.7829,0.9079
Pr Auc,0.3422,0.5444,0.8652,0.4733,0.5190,0.4739,0.9567,0.7443,0.6062,0.6479,0.2739,0.5861
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.5906
