Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.2500,0.8000,0.6286,0.4706,0.1667,0.2857,0.8182,0.7143,0.3636,0.5588,0.4375,0.4995
Recall,0.2273,0.4211,0.9167,0.2963,0.2143,0.3571,0.9000,0.5263,0.4444,0.5588,0.3500,0.4738
Specificity,0.9353,0.9915,0.9435,0.9604,0.9375,0.8894,0.9829,0.9830,0.9075,0.9318,0.9615,0.9477
F1,0.2381,0.5517,0.7458,0.3636,0.1875,0.3175,0.8571,0.6061,0.4000,0.5588,0.3889,0.4741
Roc Auc,0.8164,0.9236,0.9665,0.8881,0.7682,0.7889,0.9953,0.9324,0.8280,0.9210,0.8299,0.8780
Pr Auc,0.2634,0.5637,0.7990,0.5023,0.1555,0.3064,0.9523,0.5928,0.4095,0.5729,0.2919,0.4918
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.4803
