Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.3125,0.8000,0.5556,0.5000,0.5000,0.5000,0.9048,0.3750,0.4524,0.4510,0.3636,0.5195
Recall,0.2273,0.2105,0.6250,0.5185,0.4286,0.5862,0.9500,0.1667,0.7037,0.6765,0.1905,0.4803
Specificity,0.9528,0.9958,0.9481,0.9386,0.9751,0.9248,0.9915,0.9789,0.8991,0.8733,0.9701,0.9498
F1,0.2632,0.3333,0.5882,0.5091,0.4615,0.5397,0.9268,0.2308,0.5507,0.5412,0.2500,0.4722
Roc Auc,0.7969,0.8374,0.9183,0.8242,0.8411,0.8517,0.9989,0.8840,0.9134,0.9035,0.7808,0.8682
Pr Auc,0.2745,0.3895,0.5967,0.5623,0.4338,0.5826,0.9670,0.2944,0.5830,0.6337,0.3115,0.5117
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.5059
