Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.0000,0.4444,0.6538,0.4375,0.5000,0.5625,0.8261,0.6667,0.6923,0.5312,0.3077,0.5111
Recall,0.0000,0.2105,0.7083,0.7778,0.3571,0.3214,0.9500,0.6316,0.6667,1.0000,0.2000,0.5294
Specificity,0.9957,0.9787,0.9609,0.8811,0.9792,0.9690,0.9829,0.9745,0.9648,0.8636,0.9615,0.9556
F1,0.0000,0.2857,0.6800,0.5600,0.4167,0.4091,0.8837,0.6486,0.6792,0.6939,0.2424,0.4999
Roc Auc,0.9197,0.7890,0.9542,0.8984,0.8801,0.8339,0.9979,0.9469,0.9426,0.9868,0.8615,0.9101
Pr Auc,0.3556,0.3545,0.6885,0.5937,0.3817,0.5175,0.9583,0.6382,0.6667,0.9069,0.2740,0.5760
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.5630
