Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.4444,0.7778,0.7308,0.8000,0.4444,0.6176,0.9500,0.3810,0.7391,0.6222,0.3462,0.6230
Recall,0.3636,0.3684,0.7917,0.4444,0.5714,0.7241,0.9500,0.4444,0.6296,0.8235,0.4286,0.5945
Specificity,0.9571,0.9915,0.9697,0.9868,0.9585,0.9425,0.9957,0.9451,0.9737,0.9231,0.9274,0.9610
F1,0.4000,0.5000,0.7600,0.5714,0.5000,0.6667,0.9500,0.4103,0.6800,0.7089,0.3830,0.5937
Roc Auc,0.8352,0.7979,0.9475,0.8850,0.9057,0.9220,0.9991,0.9137,0.9188,0.9422,0.7660,0.8939
Pr Auc,0.4003,0.5098,0.7764,0.6766,0.5828,0.7219,0.9714,0.4178,0.7043,0.6658,0.2878,0.6104
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.6118
