Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.2778,0.4211,0.7083,0.5600,0.3810,0.4583,0.8182,0.4118,0.4878,0.6176,0.2222,0.4876
Recall,0.2273,0.4211,0.7083,0.5185,0.5714,0.3793,0.9000,0.3889,0.7407,0.6176,0.1000,0.5067
Specificity,0.9440,0.9532,0.9696,0.9515,0.9458,0.9422,0.9829,0.9576,0.9075,0.9409,0.9701,0.9514
F1,0.2500,0.4211,0.7083,0.5385,0.4571,0.4151,0.8571,0.4000,0.5882,0.6176,0.1379,0.4901
Roc Auc,0.8582,0.9339,0.9728,0.9287,0.9449,0.8510,0.9957,0.9016,0.9147,0.9277,0.8327,0.9147
Pr Auc,0.3100,0.5374,0.8185,0.6145,0.5973,0.4502,0.9400,0.5246,0.5036,0.6470,0.2629,0.5642
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.5157
