Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.5652,0.5263,0.6667,0.6800,0.6316,0.5714,0.9444,0.3571,0.4857,0.5429,0.0833,0.5504
Recall,0.5652,0.5556,0.7200,0.6538,0.8571,0.5517,0.8500,0.2778,0.6071,0.5588,0.0500,0.5679
Specificity,0.9569,0.9620,0.9609,0.9651,0.9710,0.9469,0.9957,0.9620,0.9207,0.9276,0.9532,0.9565
F1,0.5652,0.5405,0.6923,0.6667,0.7273,0.5614,0.8947,0.3125,0.5397,0.5507,0.0625,0.5558
Roc Auc,0.8797,0.9383,0.9614,0.9222,0.9653,0.8479,0.9977,0.8786,0.9180,0.9172,0.7632,0.9081
Pr Auc,0.4390,0.6007,0.6763,0.7051,0.7209,0.5679,0.9577,0.3506,0.6185,0.5841,0.2151,0.5851
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.5686
