Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.2632,0.3684,0.5714,0.6087,0.3529,0.4483,0.7917,0.4706,0.3793,0.6176,0.3750,0.4770
Recall,0.2273,0.3684,0.6667,0.5185,0.4286,0.4483,0.9500,0.4444,0.4074,0.6176,0.2857,0.4875
Specificity,0.9399,0.9492,0.9481,0.9605,0.9544,0.9292,0.9787,0.9620,0.9211,0.9412,0.9573,0.9492
F1,0.2439,0.3684,0.6154,0.5600,0.3871,0.4483,0.8636,0.4571,0.3929,0.6176,0.3243,0.4799
Roc Auc,0.7657,0.7433,0.9302,0.8452,0.8151,0.8320,0.9977,0.9182,0.8819,0.9071,0.8061,0.8584
Pr Auc,0.3190,0.4014,0.6170,0.6620,0.2574,0.4452,0.9623,0.3571,0.4797,0.6073,0.3933,0.5002
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.4941
