Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.3478,0.5714,0.7667,0.6429,0.4667,0.4688,0.9000,0.5882,0.6818,0.5946,0.4286,0.5870
Recall,0.7273,0.2105,0.9583,0.3333,0.5000,0.5172,0.9000,0.5556,0.5556,0.6471,0.3000,0.5641
Specificity,0.8707,0.9872,0.9696,0.9780,0.9667,0.9244,0.9915,0.9703,0.9692,0.9318,0.9658,0.9568
F1,0.4706,0.3077,0.8519,0.4390,0.4828,0.4918,0.9000,0.5714,0.6122,0.6197,0.3529,0.5546
Roc Auc,0.8993,0.8994,0.9913,0.9150,0.9378,0.8656,0.9989,0.9703,0.9251,0.9322,0.8541,0.9263
Pr Auc,0.4138,0.4813,0.9092,0.5481,0.5084,0.5442,0.9665,0.7728,0.6040,0.7035,0.4066,0.6235
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.5709
