Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.4167,0.5625,0.6800,0.4643,0.4000,0.3429,0.7917,0.3810,0.7000,0.5870,0.4118,0.5216
Recall,0.2273,0.4737,0.7083,0.4815,0.2857,0.4286,0.9500,0.4211,0.5185,0.7941,0.3500,0.5126
Specificity,0.9698,0.9702,0.9652,0.9339,0.9750,0.8982,0.9786,0.9447,0.9736,0.9136,0.9573,0.9527
F1,0.2941,0.5143,0.6939,0.4727,0.3333,0.3810,0.8636,0.4000,0.5957,0.6750,0.3784,0.5093
Roc Auc,0.8558,0.8323,0.9230,0.8918,0.8714,0.8454,0.9968,0.9162,0.9267,0.9531,0.8669,0.8981
Pr Auc,0.4537,0.4396,0.6675,0.5811,0.4075,0.4424,0.9488,0.5082,0.6755,0.7072,0.3608,0.5629
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.5315
