Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.3913,0.4706,0.5942,0.4655,0.2500,0.4359,0.7917,0.4865,0.4189,0.5263,0.2667,0.4634
Recall,0.2045,0.4211,0.8542,0.5000,0.1852,0.2931,0.9500,0.5000,0.5636,0.5882,0.2000,0.4782
Specificity,0.9698,0.9617,0.9391,0.9317,0.9688,0.9511,0.9786,0.9597,0.9051,0.9182,0.9530,0.9488
F1,0.2687,0.4444,0.7009,0.4821,0.2128,0.3505,0.8636,0.4932,0.4806,0.5556,0.2286,0.4619
Roc Auc,0.8194,0.9103,0.9641,0.8992,0.7621,0.7766,0.9967,0.9018,0.8403,0.9250,0.7507,0.8679
Pr Auc,0.2561,0.5183,0.7781,0.5501,0.1723,0.3772,0.9660,0.5262,0.3984,0.6052,0.2096,0.4871
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.4921
