Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.3889,0.5000,0.7500,0.5517,0.4545,0.4500,0.8636,0.4375,0.5833,0.6842,0.2286,0.5357
Recall,0.3182,0.3684,0.6250,0.5926,0.7143,0.3103,0.9500,0.7778,0.5185,0.3824,0.3810,0.5399
Specificity,0.9528,0.9703,0.9784,0.9430,0.9502,0.9513,0.9872,0.9241,0.9561,0.9729,0.8846,0.9519
F1,0.3500,0.4242,0.6818,0.5714,0.5556,0.3673,0.9048,0.5600,0.5490,0.4906,0.2857,0.5219
Roc Auc,0.8287,0.7870,0.9764,0.8876,0.9241,0.8618,0.9915,0.8687,0.8783,0.9172,0.8046,0.8842
Pr Auc,0.3907,0.3895,0.8110,0.5493,0.4769,0.4591,0.9029,0.4540,0.5029,0.5615,0.2833,0.5255
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.5176
