Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.2778,0.5625,0.7200,0.6316,0.3810,0.4400,0.9048,0.3793,0.5312,0.6452,0.2353,0.5190
Recall,0.2273,0.4737,0.7500,0.4444,0.5714,0.3929,0.9500,0.6111,0.6071,0.5882,0.2000,0.5287
Specificity,0.9440,0.9702,0.9696,0.9692,0.9458,0.9381,0.9915,0.9237,0.9336,0.9500,0.9444,0.9527
F1,0.2500,0.5143,0.7347,0.5217,0.4571,0.4151,0.9268,0.4681,0.5667,0.6154,0.2162,0.5169
Roc Auc,0.8258,0.8822,0.9801,0.9016,0.8164,0.8613,0.9959,0.9035,0.8821,0.9345,0.6754,0.8781
Pr Auc,0.3105,0.5239,0.8699,0.6366,0.2231,0.4628,0.9639,0.5862,0.4900,0.6261,0.1515,0.5313
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.5276
