Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.3077,0.5385,0.5938,0.4815,0.2632,0.5000,0.9000,0.4400,0.3409,0.5357,0.2857,0.4715
Recall,0.1818,0.3684,0.7917,0.4815,0.3571,0.2143,0.9000,0.5789,0.5556,0.4412,0.3000,0.4700
Specificity,0.9612,0.9745,0.9435,0.9383,0.9417,0.9735,0.9915,0.9404,0.8722,0.9409,0.9359,0.9467
F1,0.2286,0.4375,0.6786,0.4815,0.3030,0.3000,0.9000,0.5000,0.4225,0.4839,0.2927,0.4571
Roc Auc,0.8088,0.9055,0.9755,0.8962,0.7967,0.8148,0.9959,0.9263,0.8388,0.9309,0.8327,0.8838
Pr Auc,0.2637,0.5103,0.8207,0.5037,0.2390,0.3835,0.9484,0.6289,0.4208,0.5563,0.2762,0.5047
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.4685
