Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.3158,0.5312,0.7273,0.4915,0.2800,0.3617,0.8444,0.4583,0.4359,0.5714,0.2174,0.4759
Recall,0.1364,0.4474,0.8333,0.5370,0.2593,0.2931,0.9500,0.6111,0.6182,0.6471,0.1250,0.4962
Specificity,0.9720,0.9681,0.9674,0.9339,0.9626,0.9333,0.9850,0.9449,0.9029,0.9250,0.9615,0.9506
F1,0.1905,0.4857,0.7767,0.5133,0.2692,0.3238,0.8941,0.5238,0.5113,0.6069,0.1587,0.4776
Roc Auc,0.8370,0.8783,0.9649,0.8843,0.7662,0.8164,0.9964,0.9031,0.8507,0.9342,0.7250,0.8688
Pr Auc,0.2483,0.5174,0.7982,0.5164,0.1707,0.3916,0.9645,0.5312,0.4224,0.6130,0.1709,0.4859
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.5098
