Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.4848,0.5312,0.6078,0.5625,0.6316,0.4762,0.8409,0.3704,0.5636,0.5857,0.2500,0.5368
Recall,0.3556,0.4595,0.6327,0.6792,0.4286,0.5263,0.9250,0.5405,0.5636,0.6029,0.1500,0.5331
Specificity,0.9634,0.9682,0.9565,0.9386,0.9854,0.9270,0.9851,0.9280,0.9471,0.9342,0.9616,0.9541
F1,0.4103,0.4928,0.6200,0.6154,0.5106,0.5000,0.8810,0.4396,0.5636,0.5942,0.1875,0.5286
Roc Auc,0.8755,0.8866,0.9548,0.9014,0.9635,0.8464,0.9946,0.9021,0.9115,0.9180,0.7590,0.9012
Pr Auc,0.3861,0.5294,0.7358,0.5610,0.5273,0.4702,0.9473,0.3662,0.5452,0.5891,0.2005,0.5326
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.5442
