Metric,1_cumulus,2_altocumulus,3_cirrus,4_clearsky,5_stratocumulus,6_cumulonimbus,7_mixed,Macro Avg
Precision,0.9373,0.8878,0.8897,0.9786,0.7855,0.8613,0.8931,0.8905
Recall,0.9803,0.9390,0.9108,0.9773,0.7304,0.8942,0.7435,0.8822
Specificity,0.9943,0.9900,0.9874,0.9948,0.9528,0.9373,0.9953,0.9788
F1,0.9583,0.9127,0.9001,0.9779,0.7569,0.8774,0.8114,0.8850
Roc Auc,0.9993,0.9975,0.9933,0.9996,0.9612,0.9787,0.9893,0.9884
Pr Auc,0.9923,0.9749,0.9659,0.9979,0.8495,0.9508,0.8917,0.9461
Overall Acc,-,-,-,-,-,-,-,0.8837
