Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.6000,0.5000,0.7200,0.4857,0.4000,0.5652,0.8333,0.6000,0.5357,0.9524,0.4138,0.6006
Recall,0.4091,0.3684,0.7500,0.6296,0.4286,0.4643,1.0000,0.7895,0.5556,0.5882,0.6000,0.5985
Specificity,0.9741,0.9702,0.9696,0.9207,0.9625,0.9558,0.9829,0.9574,0.9427,0.9955,0.9274,0.9599
F1,0.4865,0.4242,0.7347,0.5484,0.4138,0.5098,0.9091,0.6818,0.5455,0.7273,0.4898,0.5883
Roc Auc,0.9359,0.8589,0.9708,0.9117,0.8789,0.8309,0.9968,0.9501,0.9269,0.9797,0.8641,0.9186
Pr Auc,0.5274,0.4192,0.7588,0.6407,0.3506,0.5165,0.9424,0.6506,0.6167,0.8257,0.2915,0.5946
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.5984
