Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.4444,0.3158,0.7895,0.6190,0.4667,0.3077,0.7600,0.7333,0.4667,0.5227,0.2222,0.5135
Recall,0.3636,0.3158,0.6250,0.4815,0.5000,0.4286,0.9500,0.6111,0.5000,0.6765,0.1000,0.5047
Specificity,0.9569,0.9447,0.9826,0.9648,0.9667,0.8805,0.9744,0.9831,0.9292,0.9045,0.9701,0.9507
F1,0.4000,0.3158,0.6977,0.5417,0.4828,0.3582,0.8444,0.6667,0.4828,0.5897,0.1379,0.5016
Roc Auc,0.8327,0.8620,0.9857,0.8796,0.8929,0.8127,0.9987,0.9176,0.7927,0.9316,0.7630,0.8790
Pr Auc,0.4602,0.3578,0.8499,0.5764,0.3660,0.2671,0.9705,0.5901,0.3936,0.5682,0.2411,0.5128
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.5118
