Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.2308,0.5909,0.7917,0.3500,0.6000,0.4444,0.9444,0.7500,0.4667,0.6452,0.2143,0.5480
Recall,0.2727,0.6842,0.7917,0.5185,0.4286,0.4286,0.8500,0.4737,0.5185,0.5882,0.1500,0.5186
Specificity,0.9138,0.9617,0.9783,0.8855,0.9833,0.9336,0.9957,0.9872,0.9295,0.9500,0.9530,0.9520
F1,0.2500,0.6341,0.7917,0.4179,0.5000,0.4364,0.8947,0.5806,0.4912,0.6154,0.1765,0.5262
Roc Auc,0.8166,0.9183,0.9743,0.8693,0.8443,0.8649,0.9972,0.9324,0.8786,0.9283,0.8434,0.8971
Pr Auc,0.3683,0.7010,0.8497,0.5694,0.4388,0.5350,0.9542,0.6879,0.3925,0.5955,0.2876,0.5800
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.5236
