Metric,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St,Macro Avg
Precision,0.4000,0.4583,0.6552,0.4865,0.5455,0.5556,0.8947,0.5000,0.5000,0.6970,0.1111,0.5276
Recall,0.2609,0.6111,0.7600,0.6923,0.4286,0.5172,0.8500,0.5000,0.4286,0.6765,0.1000,0.5296
Specificity,0.9612,0.9451,0.9565,0.9170,0.9793,0.9469,0.9915,0.9620,0.9471,0.9548,0.9319,0.9539
F1,0.3158,0.5238,0.7037,0.5714,0.4800,0.5357,0.8718,0.5000,0.4615,0.6866,0.1053,0.5232
Roc Auc,0.8257,0.9191,0.9640,0.8853,0.9303,0.8323,0.9915,0.8999,0.9032,0.9396,0.6840,0.8886
Pr Auc,0.3063,0.5532,0.7698,0.5128,0.6055,0.4734,0.9330,0.3688,0.4990,0.7009,0.1417,0.5331
Overall Acc,-,-,-,-,-,-,-,-,-,-,-,0.5412
